outcode,latitude,longitude
GU21,51.32100461,-0.579536943
GU25,51.40118584,-0.571811249
GU27,51.08169403,-0.721949286
GU29,50.98402174,-0.747599302
GU30,51.07512356,-0.804315216
GU33,51.05087224,-0.891064951
GU34,51.13941405,-0.98529838
GU46,51.33849821,-0.831505943
GU5,51.20174951,-0.513434151
GU52,51.26519647,-0.838826887
GU6,51.14124639,-0.483542564
GU7,51.18966688,-0.611767243
GU8,51.14923387,-0.643622918
GU95,51.326293,-0.763057
HA0,51.55143999,-0.305693238
HA1,51.58021211,-0.337577065
HA2,51.57428389,-0.359158311
HA3,51.5932721,-0.321420971
HA4,51.57042157,-0.410882044
HA6,51.61153226,-0.42219385
HA8,51.61144361,-0.274077525
HA9,51.56065579,-0.286818497
HD1,53.64720273,-1.78840339
HD2,53.66874491,-1.776524223
HD3,53.65323402,-1.83164123
HD6,53.70240739,-1.784063938
HD8,53.59954221,-1.6747786
HG1,54.00018403,-1.534543988
HG2,53.98628188,-1.528170838
HG3,54.03091759,-1.618799807
HG4,54.15675834,-1.567275629
HP10,51.6089935,-0.700545908
HP14,51.65141099,-0.835087887
HP15,51.65696354,-0.713663211
HP16,51.70234199,-0.719002869
HP17,51.77634593,-0.877961726
HP18,51.81513355,-0.995060316
HP19,51.82340013,-0.828038872
HP20,51.81948005,-0.805212631
HP27,51.71972163,-0.832049986
HP5,51.71293216,-0.60927801
HP7,51.66472524,-0.609881407
HR2,52.00993995,-2.785093758
HR4,52.08953175,-2.770371625
HR9,51.90815289,-2.582011767
HS5,57.76532492,-7.01006825
HS7,57.44579281,-7.33928269
HU10,53.75037341,-0.441373054
HU11,53.8266903,-0.224024751
HU13,53.72506445,-0.43648356
HU14,53.72796378,-0.49788886
HU16,53.78145028,-0.421406101
HU18,53.90980286,-0.16885386
HU19,53.72318195,0.034526196
HU5,53.75985751,-0.376498425
HU7,53.78942382,-0.327321108
HX1,53.72117381,-1.870759185
HX2,53.73821777,-1.906255541
HX3,53.72671769,-1.845037197
HX4,53.67764026,-1.882639683
HX6,53.69726535,-1.927009902
IG10,51.64854249,0.06504465
IG5,51.58983284,0.063924624
IG7,51.61416022,0.092526575
IG8,51.60725593,0.032694329
IP1,52.06581172,1.14046265
IP15,52.15717698,1.595299416
IP16,52.20442973,1.584130348
IP17,52.23049277,1.501788443
IP18,52.33038003,1.67085533
IP2,52.04537079,1.133774079
IP21,52.36478799,1.235312954
IP22,52.37584535,1.051045353
IP23,52.30813665,1.121115428
IP25,52.58252327,0.83591417
IP26,52.50711581,0.575653073
IP28,52.32988531,0.534554778
IP3,52.04172887,1.186491108
IP31,52.29119868,0.829262698
IP32,52.25392894,0.718972744
IP33,52.24261834,0.706751437
IP6,52.13192563,1.111825224
IP8,52.06311591,1.080179683
IP9,51.99006678,1.147479035
IV10,57.58494309,-4.127389892
IV13,57.34321424,-4.023455353
IV15,57.59908761,-4.431640234
IV16,57.66194826,-4.341539596
IV17,57.69912996,-4.261087175
IV19,57.80398359,-4.062748359
IV20,57.78787556,-3.904056661
IV21,57.72436536,-5.72124712
IV24,57.89156159,-4.355734023
IV25,57.88969112,-4.042246781
IV30,57.65348966,-3.327170545
IV31,57.71698856,-3.290985271
IV42,57.23897643,-5.830841
IV43,57.1554286,-5.810696
IV46,57.1115845,-5.983613
IV47,57.29505128,-6.343776611
IV48,57.312984,-6.110425
IV5,57.46792626,-4.411948914
IV52,57.33651316,-5.653068842
IV53,57.34417018,-5.554655545
IV55,57.45644036,-6.609926804
IV56,57.3702762,-6.440417267
IV7,57.58417612,-4.385153832
IV8,57.55392,-4.266031767
